ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
141,"Huley, Lower Shabelle, Somalia",12-Mar-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom206-march-12-2019/,
142," Darusalaam, Lower Shabelle, Somalia",11-Mar-19,Yes,al-Shabaab members and civilian village ,No,https://airwars.org/civilian-casualties/ussom205-c-march-11-2019/,
143,"Gamboole, Middle Shabelle, Somalia","March 7–8, 2019",No,al-Shabaab members attacking Somali forces during a Somali offensive,Yes,https://airwars.org/civilian-casualties/ussom204-c-march-8-2019/,
144,"Bur Madow area, Bay, Somalia",7-Mar-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom203-march-7-2019/,
145,"Busaar/Waraha Kakuma, Gedo, Somalia",6-Mar-19,No,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom202-march-6-2019/,
146,"Gal Hamurre, Hiiraan, Somalia",28-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom201-february-28-2019/,
147,"Shebeleey, near Belet Weyne, Hiiraan, Somalia",25-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom200-february-25-2019/,
148,"23 miles east of Belet Weyne, Hiiraan, Somalia",24-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom199-february-24-2019/,
149,"Kunya Barrow, Middle Juba, Somalia",23-Feb-19,Yes,al-Shabaab members in civilian village,No,https://airwars.org/civilian-casualties/ussom195-c-february-23-2019/,
150,"Awdeegle, Lower Shabelle, Somalia",23-Feb-19,Yes,al-Shabaab checkpoints,No,https://airwars.org/civilian-casualties/ussom196-february-23-2019/,
151,"Dacaraha, Lower Shabelle, Somalia",23-Feb-19,Yes,al-Shabaab checkpoints ,No,https://airwars.org/civilian-casualties/ussom197-february-23-2019/,
152,"Qoryoley near Janaale, Lower Shabelle, Somalia",23-Feb-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom198-c-february-23-2019/,
153,"Tuwaareey, Lower Shabelle, Somalia",11-Feb-19,No,al-Shabaab members in civilian village,No,https://airwars.org/civilian-casualties/ussom194-c-february-11-2019/,
154,"Janaale, Lower Shabelle, Somalia","February 10–11, 2019",Yes,al-Shabaab members in civilian village,No,https://airwars.org/civilian-casualties/ussom193-february-10-2019/,
155,"Road between Araare and Kobon, Lower Juba, Somalia",8-Feb-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom192-february-8-2019/,
